種目,日付,結果,分析記憶,実行
3BLD,2020/05/23,36.82,16.38,20.44
3BLD (正しく埋まっているピース0),2020/03/22,40.43,19.83,20.60
3BLD (DNF),,,,
3BLD (FU/UFR),2022/03/25,41.82,17.24,24.57
3BLD mo3,2020/05/28,42.95,,
3BLD ao5,2020/05/26,45.77,,
3BLD ao12,2020/02/16,2:03.49,,
3BLD ao50,2020/02/17,3:04,,
3BLD 開眼,,,,
ECEC,2020/05/08,48.54,26.86,21.68
ECEC (FU/UFR),2021/03/19,1:30.82,43.33,47.49
Eのみソルブ,2020/04/29,15.00,6.06,8.94
Eのみソルブ (12文字),2020/03/29,19.77,7.25,12.52
Cのみソルブ,2022/04/05,13.52,6.04,7.48
単発National Rank,2019/12/31,34,,
平均National Rank,2019/12/31,28,,
単発Continental Rank,2019/12/31,233,,
平均Continental Rank,2019/12/31,219,,
単発World Rank,2019/12/31,613,,
平均World Rank,2019/12/31,607,,
